case_id,accession,species,genus,organism,assembly_level,seq_rel_date,assembly_path,assembly_sha256,target
RS11,GCF_053903025.1,Escherichia coli,Escherichia,Escherichia coli,Complete Genome,2025-11-19,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_053903025.1.fna,fbdb3d6d31d41ebb559160d8a2700d340f256daf20657b96f9a84cd0a5c97262,tetA_tetracycline_efflux
RS12,GCF_057669585.1,Leifsonia sp.,Leifsonia,Leifsonia sp. Y862,Contig,2026-05-20,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_057669585.1.fna,7c7359fb38f88e8394aaf0b3f2e78a1bd1be2909dec734f6169b7d3d55aeb5bd,tetA_tetracycline_efflux
RS13,GCF_047313245.1,Citrobacter braakii,Citrobacter,Citrobacter braakii,Contig,2025-01-29,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_047313245.1.fna,56c46182d7a67e38d6eb70f5b58f8da7e4b6dc44ec5d7fcbfbd110fcb6f219bb,tetA_tetracycline_efflux
RS14,GCF_057572365.1,Klebsiella pneumoniae,Klebsiella,Klebsiella pneumoniae,Scaffold,2026-05-15,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_057572365.1.fna,ff93d848a81465386fd0b923384d5107c3c6e8d8df45970dc763c84c5d173bf1,tetA_tetracycline_efflux
RS15,GCF_059400085.1,Brucella melitensis,Brucella,Brucella melitensis,Contig,2026-07-14,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_059400085.1.fna,08466db58e56d73bdb8ea2ccd91ad3ca3b73e0de8cf45a6b18268b09e12b8f0c,tetA_tetracycline_efflux
RS16,GCF_051069775.1,Ralstonia solanacearum,Ralstonia,Ralstonia solanacearum,Contig,2025-06-25,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_051069775.1.fna,8d36360858bf40ca0decaaf1adba71af0b675f7d42f5771cc5bbc5c144cdbbb9,tetA_tetracycline_efflux
RS17,GCF_057808735.1,Chromobacterium sp.,Chromobacterium,Chromobacterium sp. FG89,Contig,2026-06-01,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_057808735.1.fna,4f8717ec435a9bf9fcc08ba40d76c695ed768ddc1088335a8910b0eeaec4fcb2,tetA_tetracycline_efflux
RS18,GCF_056521545.1,Enterobacter cloacae,Enterobacter,Enterobacter cloacae,Contig,2026-04-01,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_056521545.1.fna,ef257fcd9a3e73dfde5df7b0e6f2e0aa4e4bc079d7a787d2bec2291a12078711,tetA_tetracycline_efflux
RS19,GCF_053233725.1,Clostridioides difficile,Clostridioides,Clostridioides difficile,Contig,2025-10-28,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_053233725.1.fna,3465d37ff0b9283c09ce42af1db210d6e79be773b6689779b2df4cbb580ed056,tetA_tetracycline_efflux
RS20,GCF_052065715.1,Ligilactobacillus salivarius,Ligilactobacillus,Ligilactobacillus salivarius,Contig,2025-08-16,/mnt/c/Users/aritr/Downloads/GenomeSkeptic_Cursor/GenomeSkeptic_Cursor/role_swap_cross_task/_work/fasta/GCF_052065715.1.fna,213106fd964ee3e5d6f40ee270a826253e42d0614dfc2b049425670eac78d71f,tetA_tetracycline_efflux
